snp_id,position_bp,ld_block,nearby_gene,regulatory_annotation,component_weight,abs_component_weight
rsSYN00038,1092500,block_1,GENE_B,enhancer_like,1.0255096889406126,1.0255096889406126
rsSYN00039,1095000,block_1,GENE_B,enhancer_like,0.9609975155182435,0.9609975155182435
rsSYN00040,1097500,block_1,GENE_B,enhancer_like,1.1111515244795764,1.1111515244795764
rsSYN00041,1100000,block_2,GENE_B,enhancer_like,1.0510662957838408,1.0510662957838408
rsSYN00042,1102500,block_2,GENE_B,enhancer_like,0.945526261203061,0.945526261203061
rsSYN00043,1105000,block_2,GENE_B,enhancer_like,0.6884291719811082,0.6884291719811082
rsSYN00044,1107500,block_2,GENE_B,enhancer_like,0.7481759893185915,0.7481759893185915
rsSYN00045,1110000,block_2,GENE_B,enhancer_like,0.6578815730886313,0.6578815730886313
rsSYN00046,1112500,block_2,GENE_B,enhancer_like,0.6030279970515396,0.6030279970515396
rsSYN00047,1115000,block_2,GENE_B,enhancer_like,0.6343313764950652,0.6343313764950652
rsSYN00048,1117500,block_2,GENE_B,enhancer_like,0.4746560670577624,0.4746560670577624
rsSYN00049,1120000,block_2,GENE_B,enhancer_like,0.4849568859717104,0.4849568859717104
rsSYN00050,1122500,block_2,GENE_B,enhancer_like,0.34000169586712914,0.34000169586712914
rsSYN00051,1125000,block_2,GENE_B,enhancer_like,0.3248121865202422,0.3248121865202422
rsSYN00052,1127500,block_2,GENE_B,enhancer_like,0.3325135587291031,0.3325135587291031
rsSYN00053,1130000,block_2,GENE_B,enhancer_like,-0.0197309396181026,0.0197309396181026
rsSYN00054,1132500,block_2,GENE_B,enhancer_like,0.11631563472243149,0.11631563472243149
rsSYN00055,1135000,block_2,GENE_B,enhancer_like,0.06321719706721832,0.06321719706721832
rsSYN00056,1137500,block_2,GENE_B,enhancer_like,0.011156067947613563,0.011156067947613563
rsSYN00057,1140000,block_2,GENE_B,enhancer_like,0.04222484370127882,0.04222484370127882
rsSYN00058,1142500,block_2,GENE_B,enhancer_like,0.2871016583167806,0.2871016583167806
rsSYN00059,1145000,block_2,GENE_B,enhancer_like,-0.085242844430006,0.085242844430006
rsSYN00060,1147500,block_2,GENE_B,enhancer_like,0.1736031773331959,0.1736031773331959
rsSYN00061,1150000,block_2,GENE_B,enhancer_like,-0.23882163621074726,0.23882163621074726
rsSYN00062,1152500,block_2,GENE_B,enhancer_like,-0.050284361692801524,0.050284361692801524
rsSYN00063,1155000,block_2,GENE_B,enhancer_like,0.011386755620678698,0.011386755620678698
rsSYN00064,1157500,block_2,GENE_B,enhancer_like,0.06223440737779736,0.06223440737779736
rsSYN00065,1160000,block_2,GENE_C,intronic,0.0682543475903051,0.0682543475903051
rsSYN00066,1162500,block_2,GENE_C,intronic,0.06744913091367677,0.06744913091367677
rsSYN00067,1165000,block_2,GENE_C,intronic,-0.11768665078145743,0.11768665078145743
rsSYN00068,1167500,block_2,GENE_C,intronic,-0.14954026267195097,0.14954026267195097
rsSYN00069,1170000,block_2,GENE_C,intronic,0.03245787287371345,0.03245787287371345
rsSYN00070,1172500,block_2,GENE_C,intronic,-0.1424564313395939,0.1424564313395939
rsSYN00071,1175000,block_2,GENE_C,intronic,-0.32430924062552724,0.32430924062552724
rsSYN00072,1177500,block_2,GENE_C,intronic,-0.3239908122069515,0.3239908122069515
rsSYN00073,1180000,block_2,GENE_C,intronic,-0.31494446565558054,0.31494446565558054
rsSYN00074,1182500,block_2,GENE_C,intronic,-0.1275769198052914,0.1275769198052914
rsSYN00075,1185000,block_2,GENE_C,intronic,-0.20807906495712547,0.20807906495712547
rsSYN00076,1187500,block_2,GENE_C,intronic,-0.1553625549606741,0.1553625549606741
rsSYN00077,1190000,block_2,GENE_C,intronic,-0.354707508197519,0.354707508197519
rsSYN00078,1192500,block_2,GENE_C,intronic,-0.3006615412289111,0.3006615412289111
rsSYN00079,1195000,block_2,GENE_C,intronic,-0.26646544591225296,0.26646544591225296
rsSYN00080,1197500,block_2,GENE_C,intronic,-0.444457525763774,0.444457525763774
rsSYN00081,1200000,block_2,GENE_C,intronic,-0.36898262314206615,0.36898262314206615
rsSYN00082,1202500,block_2,GENE_C,intronic,-0.5776751040346366,0.5776751040346366
rsSYN00083,1205000,block_2,GENE_C,intronic,-0.5748790052210352,0.5748790052210352
rsSYN00084,1207500,block_2,GENE_C,intronic,-0.6205208252966462,0.6205208252966462
rsSYN00085,1210000,block_2,GENE_C,intronic,-0.785894066895525,0.785894066895525
rsSYN00086,1212500,block_2,GENE_C,intronic,-0.5767253481947167,0.5767253481947167
rsSYN00087,1215000,block_2,GENE_C,intronic,-0.7629744579211654,0.7629744579211654
rsSYN00088,1217500,block_2,GENE_C,intronic,-0.7325430985299117,0.7325430985299117
rsSYN00089,1220000,block_3,GENE_C,intronic,-0.7027233274324345,0.7027233274324345
rsSYN00090,1222500,block_3,GENE_C,intronic,-0.7463373697919855,0.7463373697919855
rsSYN00091,1225000,block_3,GENE_C,intronic,-0.7495572294480004,0.7495572294480004
rsSYN00092,1227500,block_3,GENE_C,intronic,-0.8972692185473942,0.8972692185473942
rsSYN00093,1230000,block_3,GENE_C,intronic,-0.9757485132941515,0.9757485132941515
rsSYN00094,1232500,block_3,GENE_C,intronic,-0.9501731387933112,0.9501731387933112
rsSYN00095,1235000,block_3,GENE_C,intronic,-1.2131054927196452,1.2131054927196452
rsSYN00096,1237500,block_3,GENE_C,intronic,-1.194369175748773,1.194369175748773
rsSYN00097,1240000,block_3,GENE_C,intronic,-1.1882527049115796,1.1882527049115796
rsSYN00098,1242500,block_3,GENE_C,intronic,-1.1470392310899435,1.1470392310899435
rsSYN00099,1245000,block_3,GENE_D,intergenic,-0.9400338521369078,0.9400338521369078
rsSYN00100,1247500,block_3,GENE_D,intergenic,-1.133274080958481,1.133274080958481
rsSYN00101,1250000,block_3,GENE_D,intergenic,-1.0465721818734426,1.0465721818734426
rsSYN00102,1252500,block_3,GENE_D,intergenic,-0.782418125555429,0.782418125555429
rsSYN00103,1255000,block_3,GENE_D,intergenic,-1.0134450354581197,1.0134450354581197
rsSYN00104,1257500,block_3,GENE_D,intergenic,-0.8275882596150206,0.8275882596150206
rsSYN00105,1260000,block_3,GENE_D,intergenic,-1.0522967283658222,1.0522967283658222
rsSYN00106,1262500,block_3,GENE_D,intergenic,-0.9133125360084228,0.9133125360084228
rsSYN00107,1265000,block_3,GENE_D,intergenic,-0.9918691246644942,0.9918691246644942
rsSYN00108,1267500,block_3,GENE_D,intergenic,-0.8641733264386294,0.8641733264386294
rsSYN00109,1270000,block_3,GENE_D,intergenic,-0.6487912082235052,0.6487912082235052
rsSYN00110,1272500,block_3,GENE_D,intergenic,-0.9935186051237104,0.9935186051237104
rsSYN00111,1275000,block_3,GENE_D,intergenic,-0.627405777661646,0.627405777661646
rsSYN00112,1277500,block_3,GENE_D,intergenic,-0.6141190007299734,0.6141190007299734
rsSYN00113,1280000,block_3,GENE_D,intergenic,-0.6956531530639439,0.6956531530639439
rsSYN00114,1282500,block_3,GENE_D,intergenic,-0.7801880286582594,0.7801880286582594
rsSYN00115,1285000,block_3,GENE_D,intergenic,-0.5096306948627674,0.5096306948627674
rsSYN00116,1287500,block_3,GENE_D,intergenic,-0.5578541318540404,0.5578541318540404
rsSYN00117,1290000,block_3,GENE_D,intergenic,-0.4026633059968433,0.4026633059968433
rsSYN00118,1292500,block_3,GENE_D,intergenic,-0.39487540038518565,0.39487540038518565
rsSYN00119,1295000,block_3,GENE_D,intergenic,-0.12018095489962868,0.12018095489962868
rsSYN00120,1297500,block_3,GENE_D,intergenic,-0.3605558114792762,0.3605558114792762
